Task,Start,Finish
Overall program design and demonstration,2020-01-01,2020-04-01
Design and demonstration of backscattering sensor network platform,2020-04-01,2020-06-01
Design of backscattering sensor network platform,2020-06-01,2020-08-01
Development and measurement of backscattering sensor network platform,2020-08-01,2020-10-01
Development and test of backscattering sensor sensor unit,2020-10-01,2020-12-01
Design and demonstration of moving edge computing scheme,2020-12-01,2021-02-01
Algorithm design,2021-02-01,2021-04-01
Code implementation and modulation,2021-04-01,2021-06-01
Discusses algorithms and optimization code,2021-06-01,2021-08-01
Edge computing and communication scheme design and demonstration,2021-08-01,2021-10-01
Edge learning algorithm design,2021-10-01,2021-12-01
Communication algorithm design,2021-12-01,2022-02-01
Code implementation and modulation,2022-02-01,2022-04-01
Discusses algorithms and optimization code,2022-04-01,2022-06-01
System integration test,2022-06-01,2022-08-01
The measured,2022-08-01,2022-11-01
Topic summary and conclusion,2022-11-01,2022-12-31
